City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,labuan bajo,-8.4964,119.8877,24.24,79,71,1.74,ID,1694961839
83,puerto baquerizo moreno,-0.9,-89.6,23.55,83,100,4.12,EC,1694961610
84,port moresby,-9.4431,147.1797,21.55,84,60,4.58,PG,1694961840
85,bethel,41.3712,-73.414,21.66,63,0,0.0,US,1694961840
86,lihue,21.9789,-159.3672,25.77,77,0,6.17,US,1694961840
87,jamestown,42.097,-79.2353,18.17,82,0,2.06,US,1694961840
88,at-bashi,41.1702,75.8106,12.96,56,62,0.48,KG,1694961841
89,wailua homesteads,22.0669,-159.378,25.44,78,0,6.17,US,1694961841
90,puerto ayora,-0.7393,-90.3518,25.98,93,89,1.34,EC,1694961841
91,sinabang,2.4803,96.3801,26.01,82,100,1.27,ID,1694961841
92,alice springs,-23.7,133.8833,16.75,25,0,0.0,AU,1694961841
93,port douglas,-16.4833,145.4667,21.62,82,85,6.12,AU,1694961841
94,colonia,50.9333,6.95,28.31,54,0,3.6,DE,1694961641
95,suva,-18.1416,178.4415,23.71,88,40,1.03,FJ,1694961607
96,lewistown,40.5992,-77.5714,13.44,97,75,0.0,US,1694961842
97,kavaratti,10.5669,72.642,27.6,80,47,4.25,IN,1694961842
98,punta arenas,-53.15,-70.9167,3.06,48,100,5.14,CL,1694961674
99,udachny,66.4167,112.4,-4.02,92,63,2.9,RU,1694961842
100,bilibino,68.0546,166.4372,4.01,67,100,1.21,RU,1694961844
101,khanbari,27.3747,87.2039,22.51,88,10,1.14,NP,1694961844
102,xicotencatl,23.0167,-98.8833,27.47,70,77,2.13,MX,1694961844
103,jiayuguan,39.8167,98.3,16.89,32,90,1.24,CN,1694961844
104,vorgashor,67.5833,63.95,4.73,80,100,4.79,RU,1694961845
105,okhotsk,59.3833,143.3,5.76,68,8,6.01,RU,1694961845
106,hilo,19.7297,-155.09,23.49,88,75,0.0,US,1694961845
107,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,71,75,8.0,RU,1694961678
108,karratha,-20.7377,116.8463,23.97,69,71,5.2,AU,1694961845
109,al bawiti,28.3492,28.8659,33.85,20,0,6.31,EG,1694961845
110,juneau,58.3019,-134.4197,11.79,95,100,9.26,US,1694961846
111,walvis bay,-22.9575,14.5053,21.53,46,0,3.6,NA,1694961846
112,taoudenni,22.6783,-3.9836,44.04,12,10,6.16,ML,1694961846
113,ilulissat,69.2167,-51.1,3.01,75,40,2.06,GL,1694961846
114,greenville,35.6127,-77.3663,26.19,59,0,4.63,US,1694961846
115,ta`u,-14.2336,-169.5144,26.7,83,84,8.66,AS,1694961846
116,labytnangi,66.6572,66.4183,5.76,89,100,5.71,RU,1694961654
117,cabo san lucas,22.8909,-109.9124,29.86,70,0,0.45,MX,1694961847
118,nhamunda,-2.1861,-56.7131,37.35,31,17,3.07,BR,1694961847
119,port elizabeth,-33.918,25.5701,18.39,55,0,10.29,ZA,1694961482
120,touros,-5.1989,-35.4608,29.53,59,24,9.09,BR,1694961847
121,birao,10.2849,22.7882,25.87,81,87,0.71,CF,1694961761
122,ola,59.5833,151.2833,2.86,84,74,2.14,RU,1694961595
123,port augusta,-32.5,137.7667,21.79,18,6,5.37,AU,1694961848
124,quiberon,47.4841,-3.1196,25.06,82,6,3.39,FR,1694961848
125,nouadhibou,20.931,-17.0347,26.99,61,10,6.17,MR,1694961849
126,manturovo,58.3353,44.7619,12.49,66,78,2.18,RU,1694961849
127,ust'-kulom,61.6864,53.6902,12.06,75,100,2.04,RU,1694961849
128,aasiaat,68.7098,-52.8699,2.14,78,78,1.82,GL,1694961849
129,poxoreo,-15.8372,-54.3892,38.74,20,16,5.21,BR,1694961849
130,kainantu,-6.2887,145.8655,14.98,94,100,0.89,PG,1694961849
131,stanley,54.868,-1.6985,17.1,85,75,3.09,GB,1694961813
132,astrakhan,46.3497,48.0408,16.93,87,75,2.0,RU,1694961562
133,edson,53.5835,-116.4356,3.08,100,0,1.54,CA,1694961850
134,mayfield,36.7417,-88.6367,21.62,87,9,3.59,US,1694961850
135,kalamb,19.05,73.95,21.88,90,100,3.84,IN,1694961850
136,xuddur,4.1213,43.8894,32.65,32,92,6.58,SO,1694961850
137,saint-pierre,-21.3393,55.4781,23.82,69,40,3.6,RE,1694961655
138,ponta delgada,37.7333,-25.6667,22.88,68,75,6.17,PT,1694961851
139,flat river,37.8501,-90.5168,19.57,73,0,2.57,US,1694961851
